date,Closed PnL,Trade_Count,Avg_Trade_Size,LS_Ratio,value,classification
2025-01-09,46975.928902,522,1955.427681992337,0.8913043478260869,69,Greed
2025-01-10,-10116.875552,819,7994.444053724053,2.64,50,Neutral
2025-01-11,2269.080536,283,5859.006042402827,2.628205128205128,69,Greed
2025-01-12,5742.241803,602,3751.59330564784,6.432098765432099,62,Greed
2025-01-13,9655.429352,408,7197.666691176471,4.513513513513513,61,Greed
2025-01-14,16069.512355,275,3187.5708,0.6369047619047619,63,Greed
2025-01-15,14819.5883,267,6747.565131086143,0.6792452830188679,70,Greed
2025-01-16,20807.709328,371,8220.196657681941,0.5787234042553191,75,Extreme Greed
2025-01-17,7006.415608,238,4664.8338655462185,0.7372262773722628,75,Extreme Greed
2025-01-18,443.2330819999997,651,4165.330076804916,0.5955882352941176,77,Extreme Greed
2025-01-19,87923.799302,1567,6199.8821314613915,0.9810366624525917,77,Extreme Greed
2025-01-20,87277.239173,1315,6302.149817490495,1.593688362919132,76,Extreme Greed
2025-01-21,11077.839421,530,2874.961924528302,0.32169576059850374,76,Extreme Greed
2025-01-22,20524.408057,832,2137.5077283653845,0.7854077253218884,84,Extreme Greed
2025-01-23,101256.24216,1218,3035.3273070607556,1.0333889816360602,75,Extreme Greed
2025-01-24,10602.779738,874,1843.7453661327231,1.0959232613908874,75,Extreme Greed
